id,name,surname,original_name,synonyms,orcid,url,birth_year,death_year,remarks
460,Páll Gíslason,Gíslason,,,,,,,
461,Jóhannes Gissurarson,Gissurarson,,,,,,,
462,Maura Giuliano,Giuliano,,,,,,,
464,Andrey Glazovsky,Glazovsky,,,0000-0001-6275-7517,,,,
465,Piotr Glowacki,Glowacki,,,,,,,
466,Ramin G. Gobejishvili,Gobejishvili,,,,,,,
467,Gian Andri Godly,Godly,,,,,,,
468,Danilo Godone,Godone,,,,,,,
469,Josef Goldberger,Goldberger,,,,,,,
471,Gennady Nikolaevich Golubev,Golubev,Геннадию Николаевичу Голубев,,,,1935,2010,
472,Jesús Gómez,Gómez,,,,,,,
1525,Javiera Gonzaléz,Gonzaléz,,,,,,,
474,J. E. Gordon,Gordon,,,,,,,
475,Giovanni Gorni,Gorni,,,,,,,
476,Giacomo Gotta,Gotta,,,,,,,
477,Gustav Götzinger,Götzinger,,,,,,,
478,Noel Gourmelen,Gourmelen,,,0000-0003-3346-9289,,,,
479,Mariusz Grabiec,Grabiec,,,0000-0002-1991-3577,,,,
1459,Susanna Grasso,Grasso,,,,,,,
481,Giovanni Grazzi,Grazzi,,,,,,,
482,Giovanni Greco,Greco,,,,,,,
483,G. Greim,Greim,,,,,,,
485,Angelo Grilli,Grilli,,,,,,,
486,Madeleine Griselin,Griselin,,,,,,,
1469,Marisa Groff,Groff,,,,,,,
487,Benedikt Gröndal,Gröndal,,,,,,,
488,Børre Grønningsæter,Grønningsæter,,,,,,,
489,Marco Grosa,Grosa,,,,,,,
490,Günther Groß,Groß,,,,,,,
1587,Johannes Groß,Groß,,,,,,,
492,G. Gruber,Gruber,,,,,,,
491,Otto Gruber,Gruber,,,,,,,
493,Håkan Grudd,Grudd,,,0000-0002-9033-2505,,,,
494,K. Grunewald,Grunewald,,,,,,,
495,Guan Weijin,Guan,管伟瑾,,0000-0002-1280-655X,,,,
497,Luis F. Guarnizo,Guarnizo,,,,,,,
498,Afanasiy Sergeevich Gubanov,Gubanov,Афанасий Сергеевич Губанов,Afanasiy Gubanov,,https://www.geogr.msu.ru/structure/departments/crio/staff/gubanov-afanasiy-sergeevich/?sphrase_id=7444,,,
500,Eyjólfur Guðmundsson,Guðmundsson,,,,,,,
501,Snævarr Guðmundsson,Guðmundsson,,,,,,,
502,Ulisse Guichardaz,Guichardaz,,,,,,,
503,Andri Gunnarsson,Gunnarsson,,,0000-0002-9041-8763,,,,
504,Guðlaugur Gunnarsson,Gunnarsson,,,,,,,
505,Einar Gunnlaugsson,Gunnlaugsson,,,,,,,
1446,Nishikant Gupta,Gupta,,,,,,,
506,Tika Gurung,Gurung,,,,,,,
507,Alessio Gusmeroli,Gusmeroli,,,,,,,
508,Mattia Gussoni,Gussoni,,,,,,,
